oracle_id,lo_cents,lo_printing,lo_finish,hi_cents,hi_printing,hi_finish
00b940e9-0000-4000-8000-oraclebroken,1118,11e00214-0000-4000-8000-printbrokens,0,15708,41f2521a-0000-4000-8000-printbrokens,0
03cbe4cf-0000-4000-8000-oraclehollow,45,3ae5f613-0000-4000-8000-printhollowk,0,384,c59cb900-0000-4000-8000-printhollowk,0
04ef795e-0000-4000-8000-oracleskyfar,3801,0e211c81-0000-4000-8000-printskyfare,0,9277,4173690b-0000-4000-8000-printskyfare,1
04f89e4d-0000-4000-8000-oracleironro,979,74268ff4-0000-4000-8000-printironroo,0,4382,2ca1aeac-0000-4000-8000-printironroo,1
055941ea-0000-4000-8000-oraclethornw,646,8c7778c3-0000-4000-8000-printthornwe,0,4780,344ea162-0000-4000-8000-printthornwe,1
061b47b9-0000-4000-8000-oraclestarli,2706,3597d7a7-0000-4000-8000-printstarlit,0,28121,f9552346-0000-4000-8000-printstarlit,0
0694b227-0000-4000-8000-oraclesablef,1765,93d8645b-0000-4000-8000-printsablefo,0,9695,4c538313-0000-4000-8000-printsablefo,1
06c5d6e1-0000-4000-8000-oraclemoxies,1205,c8bca723-0000-4000-8000-printmoxiesh,0,682358,af9ccb4e-0000-4000-8000-printmoxiesh,0
0743997e-0000-4000-8000-oraclewildsp,24,d913a8ac-0000-4000-8000-printwildspr,0,557,54344ae5-0000-4000-8000-printwildspr,0
076e2c76-0000-4000-8000-oraclestormt,2455,6ad471ab-0000-4000-8000-printstormto,0,20461,c839dde8-0000-4000-8000-printstormto,1
07fa5b18-0000-4000-8000-oraclestarli,37,621a1213-0000-4000-8000-printstarlit,0,1664,7d891955-0000-4000-8000-printstarlit,0
09288d92-0000-4000-8000-oracleraveno,1630,52473d3e-0000-4000-8000-printravenou,0,24411,c5df1bdd-0000-4000-8000-printravenou,0
092f1016-0000-4000-8000-oracleraveno,108,84eb4b0a-0000-4000-8000-printravenou,0,966,6014c036-0000-4000-8000-printravenou,1
0b6d4ba9-0000-4000-8000-oraclewildsp,41,e3d5b0d5-0000-4000-8000-printwildspr,0,126,61992e35-0000-4000-8000-printwildspr,1
0cdcfdc4-0000-4000-8000-oraclebroken,2547,ade69f98-0000-4000-8000-printbrokens,0,4685,ade69f98-0000-4000-8000-printbrokens,1
0e09afa7-0000-4000-8000-oracledorand,13783,5405b659-0000-4000-8000-printdorandu,0,44164,0c80d513-0000-4000-8000-printdorandu,1
0e582c85-0000-4000-8000-oraclemurkwa,17307,74cb59b8-0000-4000-8000-printmurkwat,0,97122,d1943027-0000-4000-8000-printmurkwat,1
0f40a4c3-0000-4000-8000-oracledorant,3340,d8ab837c-0000-4000-8000-printdoranth,0,18547,8a107b11-0000-4000-8000-printdoranth,1
0f7c8f65-0000-4000-8000-oraclehollow,31,30acc0e7-0000-4000-8000-printhollowr,0,402,c33edd42-0000-4000-8000-printhollowr,1
118e6caa-0000-4000-8000-oraclehollow,2510,254e09f8-0000-4000-8000-printhollows,0,9084,ddc928b0-0000-4000-8000-printhollows,1
14539a68-0000-4000-8000-oraclebloodm,30547,4d1d04b5-0000-4000-8000-printbloodmo,0,93081,806f513f-0000-4000-8000-printbloodmo,1
147e6f94-0000-4000-8000-oraclekaelst,4151,26e9b04c-0000-4000-8000-printkaelsto,0,17915,a54a4f07-0000-4000-8000-printkaelsto,1
152f3d1b-0000-4000-8000-oracleriftsc,16129,f36633e5-0000-4000-8000-printriftsca,0,82287,71c6d29f-0000-4000-8000-printriftsca,1
15510f4e-0000-4000-8000-oraclesilver,8,91159490-0000-4000-8000-printsilverl,0,66,66155481-0000-4000-8000-printsilverl,1
159b1e94-0000-4000-8000-oraclecopper,37,d76adccb-0000-4000-8000-printcopperf,0,170,55cb7b85-0000-4000-8000-printcopperf,1
16623555-0000-4000-8000-oraclethornw,28885,2819f54f-0000-4000-8000-printthornwe,0,129057,07bbe429-0000-4000-8000-printthornwe,1
16a348a9-0000-4000-8000-oraclethornw,4138,5d05c819-0000-4000-8000-printthornwe,0,69475,38a63618-0000-4000-8000-printthornwe,1
1bc1ccbd-0000-4000-8000-oraclewraith,15,cab1378d-0000-4000-8000-printwraithl,0,49,4fda09bb-0000-4000-8000-printwraithl,1
1c11d58e-0000-4000-8000-oracleraveno,4427,ab02454f-0000-4000-8000-printravenou,0,10060,ab02454f-0000-4000-8000-printravenou,1
1c37c8f0-0000-4000-8000-oraclewhispe,4984,e51f9d32-0000-4000-8000-printwhisper,0,18996,9d9abbea-0000-4000-8000-printwhisper,1
1cfcacd6-0000-4000-8000-oracleskyfar,42261,07324255-0000-4000-8000-printskyfare,0,659323,af8063cb-0000-4000-8000-printskyfare,1
1e64c011-0000-4000-8000-oracleskyfar,2943,5bbe3554-0000-4000-8000-printskyfare,0,33967,b99b25f0-0000-4000-8000-printskyfare,1
20490f68-0000-4000-8000-oracleancien,1860025,2a088be0-0000-4000-8000-printancient,0,1860025,2a088be0-0000-4000-8000-printancient,0
275df72a-0000-4000-8000-oraclehollow,25500,cd9493c2-0000-4000-8000-printhollows,0,130303,4ba73ecc-0000-4000-8000-printhollows,1
2770acd7-0000-4000-8000-oraclebloodm,3480,809d9b2c-0000-4000-8000-printbloodmo,0,97204,46820410-0000-4000-8000-printbloodmo,1
28e56089-0000-4000-8000-oracleemberc,3754,edf3ec02-0000-4000-8000-printembercl,0,22728,6c06970c-0000-4000-8000-printembercl,1
28f1d8de-0000-4000-8000-oracleraveno,3828,5029e104-0000-4000-8000-printravenou,0,26974,a1376387-0000-4000-8000-printravenou,0
292cc664-0000-4000-8000-oracleancien,505,31ca5fdf-0000-4000-8000-printancient,0,6436,79eb4b61-0000-4000-8000-printancient,1
292daeb9-0000-4000-8000-oracleancien,18,3fe0e307-0000-4000-8000-printancient,0,98,f85c01bf-0000-4000-8000-printancient,1
2ad59a4d-0000-4000-8000-oracleduskbo,1193,55ee3fb6-0000-4000-8000-printduskbou,0,19188,318eadb4-0000-4000-8000-printduskbou,1
2c3b6ddf-0000-4000-8000-oraclecinder,3776,009f005f-0000-4000-8000-printcindero,0,14574,7e627dbf-0000-4000-8000-printcindero,1
2e5e66b0-0000-4000-8000-oraclesilver,31,d6e0e773-0000-4000-8000-printsilverl,0,131,54a464d3-0000-4000-8000-printsilverl,1
2ea0193e-0000-4000-8000-oraclethornw,2728,c012ef5f-0000-4000-8000-printthornwe,0,88369,56592471-0000-4000-8000-printthornwe,0
31f330c6-0000-4000-8000-oraclestarli,35522,7aa6e867-0000-4000-8000-printstarlit,0,260027,227e1106-0000-4000-8000-printstarlit,1
323db142-0000-4000-8000-oraclecopper,28,a6954b82-0000-4000-8000-printcopperf,0,192,03fb434a-0000-4000-8000-printcopperf,1
33235245-0000-4000-8000-oraclecinder,6,bf6b2a46-0000-4000-8000-printcinderw,0,23,0a797c76-0000-4000-8000-printcinderw,1
33dfbb1c-0000-4000-8000-oraclekaelth,27,72bb5fc4-0000-4000-8000-printkaelthe,0,298,4de4d4f0-0000-4000-8000-printkaelthe,1
34996685-0000-4000-8000-oraclehollow,41,218743f9-0000-4000-8000-printhollowo,0,102,54d99083-0000-4000-8000-printhollowo,1
365ce218-0000-4000-8000-oraclestormt,5171,d4688f44-0000-4000-8000-printstormto,0,11412,d4688f44-0000-4000-8000-printstormto,1
36bb50a5-0000-4000-8000-oraclesunlit,12,bb761263-0000-4000-8000-printsunlita,0,35,05e74339-0000-4000-8000-printsunlita,1
390aee6a-0000-4000-8000-oracleradian,15,9bd3eb37-0000-4000-8000-printradiant,0,114,4d38e2ca-0000-4000-8000-printradiant,1
3b2a452d-0000-4000-8000-oraclemishra,418199,aa79151e-0000-4000-8000-printmishras,0,418199,aa79151e-0000-4000-8000-printmishras,0
3b3ca22f-0000-4000-8000-oracleemberc,4310,c1312a8d-0000-4000-8000-printembercl,0,11441,c1312a8d-0000-4000-8000-printembercl,1
3e6ee94d-0000-4000-8000-oraclegrimwo,38,9c67d6d6-0000-4000-8000-printgrimwoo,0,440,f3a41965-0000-4000-8000-printgrimwoo,1
3e7595b2-0000-4000-8000-oraclegrimwo,59323,9662b87c-0000-4000-8000-printgrimwoo,0,1129557,11835ab3-0000-4000-8000-printgrimwoo,0
3fe6b9a4-0000-4000-8000-oraclegloomv,4184,a6b5147a-0000-4000-8000-printgloomve,0,9304,a6b5147a-0000-4000-8000-printgloomve,1
3ffae924-0000-4000-8000-oracleserras,2175,567a607c-0000-4000-8000-printserrasl,0,959790,a53bb184-0000-4000-8000-printserrasl,0
400aaa6d-0000-4000-8000-oraclegloomv,2757,0b88489f-0000-4000-8000-printgloomve,0,11963,90b11acd-0000-4000-8000-printgloomve,1
410405a2-0000-4000-8000-oraclegloomv,4774,6f2cfdbc-0000-4000-8000-printgloomve,0,11209,6f2cfdbc-0000-4000-8000-printgloomve,1
41c82dbf-0000-4000-8000-oraclethornw,4136,96d3e3fc-0000-4000-8000-printthornwe,0,25804,f39cba6b-0000-4000-8000-printthornwe,1
4262564a-0000-4000-8000-oracleradian,16281,f27aa944-0000-4000-8000-printradiant,0,274057,661287e5-0000-4000-8000-printradiant,0
42e0c8a7-0000-4000-8000-oraclemurkwa,3886,c2a24679-0000-4000-8000-printmurkwat,0,22458,20083e43-0000-4000-8000-printmurkwat,1
4dc13266-0000-4000-8000-oraclemurkwa,3323,485d21f9-0000-4000-8000-printmurkwat,0,14221,c6bdc0b3-0000-4000-8000-printmurkwat,1
4e176cd0-0000-4000-8000-oraclefrostb,15,4d061ef2-0000-4000-8000-printfrostbo,0,212,95270a75-0000-4000-8000-printfrostbo,1
4f4a15bf-0000-4000-8000-oraclebroken,18199,a722ac80-0000-4000-8000-printbrokens,0,76781,25834b3a-0000-4000-8000-printbrokens,1
50067468-0000-4000-8000-oraclesablec,12,3d345f7b-0000-4000-8000-printsableca,0,311,eba74e3d-0000-4000-8000-printsableca,0
515b7c93-0000-4000-8000-oraclesunlit,28,76a867a8-0000-4000-8000-printsunlitb,0,161,00c2093a-0000-4000-8000-printsunlitb,0
518aaea9-0000-4000-8000-oracleysolde,4127,4c8c6dd4-0000-4000-8000-printysolded,0,12744,7fdeba5e-0000-4000-8000-printysolded,1
51a99eed-0000-4000-8000-oraclesunlit,732,daf6d6dd-0000-4000-8000-printsunlitg,0,3819,590981e7-0000-4000-8000-printsunlitg,1
53eb26da-0000-4000-8000-oraclesilver,3264,56a71d46-0000-4000-8000-printsilverl,0,15328,0f223bfe-0000-4000-8000-printsilverl,1
540d924b-0000-4000-8000-oraclewraith,3193,ffee8538-0000-4000-8000-printwraithl,0,26301,db17fa61-0000-4000-8000-printwraithl,1
542a8069-0000-4000-8000-oraclegrimwo,2522,df801d23-0000-4000-8000-printgrimwoo,0,10576,64a8ef51-0000-4000-8000-printgrimwoo,1
54ba947d-0000-4000-8000-oraclewildsp,21,a51e8fc4-0000-4000-8000-printwildspr,0,66,5d99ae7d-0000-4000-8000-printwildspr,1
56ae32dc-0000-4000-8000-oraclefrostb,45,ccd4544f-0000-4000-8000-printfrostbo,0,2884,80622eb4-0000-4000-8000-printfrostbo,0
57404ce5-0000-4000-8000-oraclecopper,26452,6ba7b359-0000-4000-8000-printcopperf,0,451927,4748215a-0000-4000-8000-printcopperf,1
57aa8c9f-0000-4000-8000-oracleforsak,412,406d29a0-0000-4000-8000-printforsake,0,2681,f8e8485a-0000-4000-8000-printforsake,1
57dc6bad-0000-4000-8000-oracleforsak,1329,1260f5d4-0000-4000-8000-printforsake,0,88549,f9411cc1-0000-4000-8000-printforsake,0
57f291df-0000-4000-8000-oracleforsak,30,27c95c5f-0000-4000-8000-printforsake,0,88,a58cd9bf-0000-4000-8000-printforsake,1
57f86417-0000-4000-8000-oraclemurkwa,1135,bfe2a035-0000-4000-8000-printmurkwat,0,8760,6190139a-0000-4000-8000-printmurkwat,1
5c384ca8-0000-4000-8000-oraclethornw,4603,ea13eab8-0000-4000-8000-printthornwe,0,65732,bf13aaa7-0000-4000-8000-printthornwe,1
5e958bd1-0000-4000-8000-oracleraveno,6,86eeb76d-0000-4000-8000-printravenou,0,22,ba4103f7-0000-4000-8000-printravenou,1
60d23aeb-0000-4000-8000-oracleverdan,3702,2d6f4013-0000-4000-8000-printverdant,0,73979,b6e9fac3-0000-4000-8000-printverdant,0
6201a1e3-0000-4000-8000-oraclegilded,40,c776e1d9-0000-4000-8000-printgildeds,0,108,c776e1d9-0000-4000-8000-printgildeds,1
62a8369c-0000-4000-8000-oraclesorint,1741,d0e7fd66-0000-4000-8000-printsorinth,0,12377,b089ec40-0000-4000-8000-printsorinth,1
62b4e502-0000-4000-8000-oraclestarli,21,0862d6e1-0000-4000-8000-printstarlit,0,465,f9bebe6d-0000-4000-8000-printstarlit,0
